Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gwyneth Midgley,Austin Mullins,Blake Richards,Nadine Wellwood,Anne Wilson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48001,"Banff--Airdrie/Banff--Airdrie"," 88","Airdrie",10,4,94,2,13,0,123,329
48001,"Banff--Airdrie/Banff--Airdrie"," 89","Airdrie",12,1,120,5,16,0,154,399
48001,"Banff--Airdrie/Banff--Airdrie"," 90","Airdrie",11,4,113,8,8,0,144,336
48001,"Banff--Airdrie/Banff--Airdrie"," 91","Airdrie",12,6,143,10,18,0,189,365
48001,"Banff--Airdrie/Banff--Airdrie"," 92","Airdrie",14,3,144,8,19,0,188,365
48001,"Banff--Airdrie/Banff--Airdrie"," 93","Airdrie",25,2,177,8,14,0,226,501
48001,"Banff--Airdrie/Banff--Airdrie"," 94","Cochrane",9,8,116,3,20,1,157,406
48001,"Banff--Airdrie/Banff--Airdrie"," 95","Cochrane",27,13,146,10,17,0,213,473
48001,"Banff--Airdrie/Banff--Airdrie"," 96","Cochrane",14,9,97,5,29,0,154,352
48001,"Banff--Airdrie/Banff--Airdrie"," 97","Cochrane",21,8,96,10,11,0,146,372
48001,"Banff--Airdrie/Banff--Airdrie"," 98","Cochrane",13,11,119,5,34,1,183,448
48001,"Banff--Airdrie/Banff--Airdrie"," 99","Cochrane",41,19,154,13,46,0,273,632
48001,"Banff--Airdrie/Banff--Airdrie"," 100","Cochrane",25,3,213,7,43,1,292,586
48001,"Banff--Airdrie/Banff--Airdrie"," 101","Cochrane",21,5,192,11,33,1,263,511
48001,"Banff--Airdrie/Banff--Airdrie"," 102","Cochrane",8,8,111,4,22,1,154,302
48001,"Banff--Airdrie/Banff--Airdrie"," 103","Cochrane",20,11,118,5,24,0,178,517
48001,"Banff--Airdrie/Banff--Airdrie"," 104","Cochrane",5,8,142,8,27,0,190,417
48001,"Banff--Airdrie/Banff--Airdrie"," 105","Cochrane",19,12,146,6,27,0,210,418
48001,"Banff--Airdrie/Banff--Airdrie"," 106","Cochrane",11,5,120,3,24,1,164,423
48001,"Banff--Airdrie/Banff--Airdrie"," 107","Cochrane",Merged with No./Fusionné avec le n°115,,,,,,,362
48001,"Banff--Airdrie/Banff--Airdrie"," 108","Cochrane",12,9,160,14,18,0,213,474
48001,"Banff--Airdrie/Banff--Airdrie"," 109","Cochrane",10,13,169,11,29,1,233,526
48001,"Banff--Airdrie/Banff--Airdrie"," 110","Cochrane",11,8,106,13,35,2,175,347
48001,"Banff--Airdrie/Banff--Airdrie"," 111","Cochrane",21,9,124,5,23,2,184,432
48001,"Banff--Airdrie/Banff--Airdrie"," 112","Cochrane",8,5,119,3,15,0,150,368
48001,"Banff--Airdrie/Banff--Airdrie"," 113","Cochrane",24,6,212,12,35,2,291,645
48001,"Banff--Airdrie/Banff--Airdrie"," 114A","Cochrane",15,7,104,13,25,0,164,437
48001,"Banff--Airdrie/Banff--Airdrie"," 114B","Cochrane",17,8,92,14,18,0,149,396
48001,"Banff--Airdrie/Banff--Airdrie"," 115","Cochrane",34,8,222,7,23,0,294,363
48001,"Banff--Airdrie/Banff--Airdrie"," 116","Cochrane",12,10,147,7,21,1,198,495
48001,"Banff--Airdrie/Banff--Airdrie"," 117","Cochrane",Merged with No./Fusionné avec le n°102,,,,,,,67
