Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sonia Baudelot,Ali Faour,Emilio Migliozzi,Lizabel Nitoi,Elias Progakis,Yves Robillard,Bao Tran Le,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 405","Laval",Merged with No./Fusionné avec le n°404,,,,,,,,,82
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 500","Mobile poll/Bureau itinérant",6,1,2,21,0,44,1,1,76,198
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 501","Mobile poll/Bureau itinérant",4,1,0,10,2,30,1,2,50,102
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 600","Laval",95,66,10,496,5,404,42,13,1131,
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 601","Laval",129,97,12,434,3,610,44,27,1356,
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 602","Laval",67,40,8,299,1,267,23,14,719,
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 603","Laval",69,68,7,370,3,377,47,5,946,
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 604","Laval",78,47,9,379,2,328,46,13,902,
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 605","Laval",94,65,1,278,4,388,29,14,873,
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 606","Laval",116,107,4,508,3,550,54,23,1365,
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 607","Laval",130,90,9,421,3,501,41,12,1207,
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 608","Laval",61,47,6,197,1,244,18,9,583,
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 609","Laval",146,67,13,281,2,480,24,8,1021,
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 610","Laval",76,48,5,313,1,302,29,16,790,
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 611","Laval",91,70,9,391,1,375,39,8,984,
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 612","Laval",80,50,4,289,3,271,21,10,728,
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 613","Laval",52,30,4,177,0,160,19,14,456,
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 614","Laval",68,26,1,172,2,198,18,6,491,
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin",,Group 1/Groupe 1, 7,7,1,4,0,28,2,4,53,54
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin",,Group 2/Groupe 2, 84,123,7,242,3,413,65,42,979,
