Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Travis Ashley,John Barr,Stephen Fuhr,Tracy Gray,Daniel Joseph,Justin Kulik,Silverado Socrates,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 19","Duck Lake 7",25,8,116,186,1,38,0,1,375,656
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 20","Winfield",16,4,62,81,1,26,0,0,190,497
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 21","Winfield",24,5,85,123,0,32,0,2,271,616
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 22","Winfield",22,8,49,90,0,29,2,1,201,512
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 23A","Winfield",22,6,50,52,1,36,0,1,168,435
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 23B","Winfield",12,4,49,65,0,30,0,0,160,361
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 24","Duck Lake 7",19,11,55,93,0,17,0,0,195,547
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 25","Winfield",14,5,60,101,0,34,0,1,215,523
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 26","Kelowna",14,5,49,60,1,29,0,0,158,393
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 27","Kelowna",27,4,105,177,0,50,0,0,363,764
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 28","Kelowna",14,5,77,92,0,28,0,0,216,431
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 29","Kelowna",24,5,141,210,0,40,1,2,423,687
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 30","Kelowna",21,4,115,153,0,37,0,0,330,597
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 31","Kelowna",14,8,64,104,1,48,1,1,241,447
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 32","Kelowna",12,3,84,79,0,37,0,1,216,410
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 33","Kelowna",24,0,103,87,0,37,0,0,251,477
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 34","Kelowna",29,8,111,151,2,62,1,3,367,660
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 35","Kelowna",28,7,66,161,0,38,1,0,301,570
