Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mavis Erickson,Catharine Kendall,Marcia Luccock,Ron Vaillant,Bob Zimmer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 185","Pineview",20,17,18,5,106,0,166,324
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 186","Fraser-Fort George D",36,13,22,8,130,0,209,401
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 187","Pineview",27,19,25,2,93,2,168,324
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 188","Pineview",31,17,14,8,103,1,174,338
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 189","Ferndale",36,19,19,5,108,3,190,331
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 190","Ferndale",30,33,24,16,87,3,193,290
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 191","Buckhorn",31,23,24,8,149,0,235,454
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 192","Buckhorn",36,27,22,9,149,1,244,435
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 193","Buckhorn",35,20,34,5,133,0,227,407
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 194","Dome Creek",9,4,6,0,7,0,26,56
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 195","McBride",14,21,20,7,98,0,160,361
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 196","McBride",15,11,17,1,58,0,102,259
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 197","McBride",23,17,19,6,81,4,150,332
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 198","Dunster",18,28,5,8,64,1,124,204
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 199","Valemount ",30,18,16,4,70,0,138,303
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 200","Valemount ",18,19,19,4,49,0,109,293
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 201","Valemount ",17,14,17,3,62,0,113,292
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 202","Valemount ",17,22,14,5,78,1,137,320
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 500","Mobile poll/Bureau itinérant",10,3,1,2,74,0,90,154
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 501","Mobile poll/Bureau itinérant",8,6,5,2,41,1,63,153
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 502","Mobile poll/Bureau itinérant",5,4,5,1,37,1,53,155
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 503","Mobile poll/Bureau itinérant",9,5,7,4,59,0,84,142
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 504","Mobile poll/Bureau itinérant",49,13,17,4,31,3,117,180
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 505","Mobile poll/Bureau itinérant",26,7,10,3,22,4,72,164
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 600","Fort Nelson",39,16,37,12,673,0,777,
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 601","Mackenzie",90,34,69,23,345,6,567,
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 602","Charlie Lake",32,19,9,23,791,1,875,
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 603","Fort St. John",85,25,49,14,790,2,965,
