Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kristine Bowman,Gordon Francey,Douglas Galavan,Jeremy Hoefsloot,Cory Lystang,Angelena Satdeo,Gerald Soroka,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48034,"Yellowhead/Yellowhead"," 605","Edson",71,4,36,37,4,15,1232,0,1399,
48034,"Yellowhead/Yellowhead"," 606","Edson",43,0,26,56,6,18,1067,2,1218,
48034,"Yellowhead/Yellowhead"," 607","Carrot Creek",20,2,8,7,0,6,442,2,487,
48034,"Yellowhead/Yellowhead"," 608","Wildwood",24,1,20,23,5,16,636,5,730,
48034,"Yellowhead/Yellowhead"," 609","Mayerthorpe",17,0,11,19,5,5,452,4,513,
48034,"Yellowhead/Yellowhead"," 610","Mayerthorpe",8,1,13,10,2,8,350,0,392,
48034,"Yellowhead/Yellowhead"," 611","Alberta Beach",48,0,29,35,4,21,853,5,995,
48034,"Yellowhead/Yellowhead"," 612","Wabamun",56,2,24,47,5,21,768,4,927,
48034,"Yellowhead/Yellowhead"," 613","Carvel",23,1,17,18,0,5,406,3,473,
48034,"Yellowhead/Yellowhead"," 614","Warburg",15,1,10,10,0,4,420,1,461,
48034,"Yellowhead/Yellowhead"," 615","Warburg",11,0,16,12,0,6,461,0,506,
48034,"Yellowhead/Yellowhead"," 616","Drayton Valley",38,1,26,22,4,8,979,5,1083,
48034,"Yellowhead/Yellowhead"," 617","Drayton Valley",19,2,18,22,1,4,816,8,890,
48034,"Yellowhead/Yellowhead"," 618","Drayton Valley",23,0,17,15,1,10,1055,1,1122,
48034,"Yellowhead/Yellowhead"," 619","Rocky Mountain House",12,1,21,14,2,15,916,0,981,
48034,"Yellowhead/Yellowhead"," 620","Rocky Mountain House",33,1,12,20,0,8,709,0,783,
48034,"Yellowhead/Yellowhead"," 621","Rocky Mountain House",27,2,18,22,0,12,651,2,734,
48034,"Yellowhead/Yellowhead"," 622","Rocky Mountain House",21,0,19,23,0,10,850,4,927,
48034,"Yellowhead/Yellowhead"," 623","Caroline",16,0,34,8,1,10,797,2,868,
48034,"Yellowhead/Yellowhead",,Group 1/Groupe 1, 18,1,2,27,3,3,38,15,107,116
48034,"Yellowhead/Yellowhead",,Group 2/Groupe 2, 140,4,47,84,8,43,1783,64,2173,
