Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alain Bélanger,Josée Bélanger,Ruth Ellen Brosseau,Martin Acetaria Caesar Jubinville,Éric Laferrière,Danny Légaré,Luc Massé,Yves Perron,Christine Poirier,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 137","Saint-Cuthbert",2,9,51,1,5,0,1,60,16,3,148,339
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 138","Saint-Cuthbert",0,1,58,2,1,0,1,28,6,0,97,221
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 139","Saint-Cuthbert",0,4,56,1,0,0,0,38,11,1,111,284
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 140","Saint-Cuthbert",0,10,90,2,6,1,1,54,15,1,180,304
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 141","Saint-Cuthbert",0,16,62,2,6,0,0,40,18,1,145,380
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 142","Saint-Jean-de-Matha",0,14,26,0,0,0,0,94,56,0,190,402
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 143","Saint-Jean-de-Matha",0,9,28,0,1,0,1,89,35,0,163,345
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 144","Saint-Jean-de-Matha",1,14,24,0,5,0,1,104,19,1,169,414
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 145","Saint-Jean-de-Matha",1,13,35,0,2,1,1,99,25,3,180,402
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 146","Saint-Jean-de-Matha",0,6,32,0,3,1,2,71,19,2,136,315
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 147","Saint-Jean-de-Matha",0,18,16,1,4,0,2,86,26,3,156,362
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 148","Saint-Jean-de-Matha",0,9,27,0,6,0,3,102,21,2,170,390
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 149","Saint-Jean-de-Matha",1,8,16,0,0,0,3,41,15,0,84,253
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 150","Saint-Jean-de-Matha",0,8,16,0,1,0,0,54,18,1,98,251
