Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,William Amos,Mario Belec,Claude Bertrand,Dave Blackburn,Jonathan Carreiro-Benoit,Denise Giroux,Louis Lang,Shawn Stewart,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24057,"Pontiac/Pontiac"," 202","Clarendon",47,1,6,77,3,16,0,2,1,153,364
24057,"Pontiac/Pontiac"," 203","Shawville",33,2,8,63,0,26,0,0,0,132,309
24057,"Pontiac/Pontiac"," 204","Clarendon",30,1,0,71,2,7,0,0,2,113,258
24057,"Pontiac/Pontiac"," 205","Clarendon",46,1,4,68,2,8,0,0,2,131,341
24057,"Pontiac/Pontiac"," 206","Litchfield",37,2,1,71,2,13,0,0,0,126,285
24057,"Pontiac/Pontiac"," 207","Chelsea",Merged with No./Fusionné avec le n°208,,,,,,,,,,234
24057,"Pontiac/Pontiac"," 208","Chelsea",146,7,16,54,28,35,2,0,3,291,235
24057,"Pontiac/Pontiac"," 209","Gatineau",95,2,21,47,32,27,0,0,4,228,464
24057,"Pontiac/Pontiac"," 210","Gatineau",122,0,21,25,37,29,0,0,3,237,524
24057,"Pontiac/Pontiac"," 211","Gatineau",114,3,15,30,26,28,0,1,3,220,424
24057,"Pontiac/Pontiac"," 212","Gatineau",178,3,18,30,27,21,0,1,2,280,525
24057,"Pontiac/Pontiac"," 213","Gatineau",177,5,23,24,39,36,1,0,4,309,560
24057,"Pontiac/Pontiac"," 214","Gatineau",144,0,9,22,24,26,0,1,0,226,421
24057,"Pontiac/Pontiac"," 215","Gatineau",167,0,6,20,17,21,0,0,1,232,426
24057,"Pontiac/Pontiac"," 216","Gatineau",107,2,17,18,41,46,0,0,1,232,400
24057,"Pontiac/Pontiac"," 217","Gatineau",229,5,9,48,33,53,0,0,5,382,747
24057,"Pontiac/Pontiac"," 218","Gatineau",128,3,10,33,16,31,1,0,4,226,380
24057,"Pontiac/Pontiac"," 219","Bristol",43,0,8,65,8,12,0,0,2,138,266
24057,"Pontiac/Pontiac"," 220","Bristol",43,0,6,120,4,20,0,1,4,198,295
24057,"Pontiac/Pontiac"," 221","Bristol",49,2,5,48,5,13,0,1,1,124,246
24057,"Pontiac/Pontiac"," 222","Portage-du-Fort",30,0,3,60,2,7,0,0,1,103,179
24057,"Pontiac/Pontiac"," 223","Gatineau",118,4,14,20,37,33,0,1,0,227,426
24057,"Pontiac/Pontiac"," 224","Gatineau",159,2,12,30,24,25,0,0,2,254,287
24057,"Pontiac/Pontiac"," 225","Gatineau",159,3,21,19,29,42,0,0,6,279,468
24057,"Pontiac/Pontiac"," 226","Gatineau",158,2,19,28,37,44,0,0,2,290,464
24057,"Pontiac/Pontiac"," 227A","Gatineau",193,3,18,26,30,46,0,0,0,316,614
24057,"Pontiac/Pontiac"," 227B","Gatineau",190,2,15,23,26,48,0,1,3,308,590
24057,"Pontiac/Pontiac"," 227C","Gatineau",209,4,18,26,23,65,0,0,2,347,636
24057,"Pontiac/Pontiac"," 228","Gatineau",218,0,15,46,14,43,0,0,1,337,673
24057,"Pontiac/Pontiac"," 229A","Gatineau",178,9,14,41,23,46,0,1,5,317,584
24057,"Pontiac/Pontiac"," 229B","Gatineau",Merged with No./Fusionné avec le n°224,,,,,,,,,,173
24057,"Pontiac/Pontiac"," 230","Gatineau",175,6,15,39,35,38,0,0,3,311,499
24057,"Pontiac/Pontiac"," 231","Gatineau",116,1,13,14,35,15,1,0,1,196,405
24057,"Pontiac/Pontiac"," 232","Gatineau",145,2,9,7,15,39,0,0,0,217,409
24057,"Pontiac/Pontiac"," 233","Gatineau",173,2,14,33,18,34,0,0,1,275,597
24057,"Pontiac/Pontiac"," 234","Gatineau",121,3,9,22,23,23,0,2,2,205,464
24057,"Pontiac/Pontiac"," 235","Gatineau",178,3,12,40,30,37,0,0,3,303,568
24057,"Pontiac/Pontiac"," 236","Gatineau",148,1,22,34,27,31,0,0,1,264,385
24057,"Pontiac/Pontiac"," 237","Gatineau",218,7,10,37,32,52,0,0,0,356,566
24057,"Pontiac/Pontiac"," 238","Gatineau",207,1,23,48,36,55,0,1,3,374,620
24057,"Pontiac/Pontiac"," 239","Gatineau",142,3,22,11,40,31,0,0,3,252,539
24057,"Pontiac/Pontiac"," 240","Gatineau",146,1,16,21,20,27,0,0,4,235,473
24057,"Pontiac/Pontiac"," 241","Gatineau",94,4,14,27,21,32,0,1,3,196,450
24057,"Pontiac/Pontiac"," 242","Gatineau",112,4,10,15,16,20,0,0,1,178,433
24057,"Pontiac/Pontiac"," 243","Gatineau",102,12,20,44,28,17,0,0,1,224,408
24057,"Pontiac/Pontiac"," 244","Gatineau",143,2,18,28,37,35,0,0,0,263,433
24057,"Pontiac/Pontiac"," 245","Gatineau",306,1,13,52,44,44,0,0,4,464,691
24057,"Pontiac/Pontiac"," 246","Gatineau",197,2,8,25,31,28,0,1,3,295,440
24057,"Pontiac/Pontiac"," 247","Gatineau",196,5,20,24,58,33,0,0,5,341,519
24057,"Pontiac/Pontiac"," 248","Gatineau",144,4,14,28,40,32,0,0,1,263,386
