Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lynn Beaulieu,Guy Bernatchez,Jay Cowboy,Dennis Drainville,Eric Hébert,Diane Lebouthillier,Jean-Pierre Pigeon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 30H","Gaspé",6,58,5,13,2,41,13,0,138,129
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 31","Gaspé",14,61,4,8,0,58,2,0,147,391
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 32","Gaspé",6,44,4,2,2,50,10,6,124,403
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 33","Mont-Saint-Pierre",0,37,0,2,0,34,4,2,79,148
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 34","Gaspé",8,58,5,5,0,70,8,1,155,338
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 35","Gaspé",21,80,3,21,1,134,11,3,274,643
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 36","Saint-Maxime-du-Mont-Louis",0,37,1,1,0,44,5,1,89,347
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 37","Gaspé",14,28,1,12,4,54,17,0,130,280
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 38","Gaspé",37,60,5,35,1,82,9,1,230,510
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 39","Rivière-à-Claude",1,21,0,1,1,35,5,4,68,114
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 40","Saint-Georges-de-Malbaie",3,42,3,15,2,103,24,4,196,432
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 41","Grosse-Île",10,2,0,11,2,97,71,3,196,387
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 42","Murdochville",4,75,0,1,4,30,6,1,121,257
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 43","Murdochville",4,73,0,4,1,44,9,2,137,245
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 44","Bougainville",5,11,2,28,2,78,20,4,150,314
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 45","Cap-au-Renard",15,33,1,9,0,19,3,0,80,205
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 46","Bridgeville",6,28,4,9,1,39,8,1,96,235
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 47","Gaspé",6,34,2,4,1,22,1,2,72,283
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 48","York",2,32,0,3,0,37,6,0,80,300
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 49","York",7,23,3,7,1,57,20,3,121,418
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 50","Percé",4,44,1,2,2,33,5,3,94,328
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 51","Percé",2,29,2,7,0,41,1,3,85,313
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 52","Marsoui",2,68,0,2,0,42,4,3,121,237
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 53","Sainte-Anne-des-Monts",3,43,0,3,0,43,4,1,97,371
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 54","Sainte-Anne-des-Monts",5,38,2,3,1,43,7,1,100,379
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 55","Sainte-Anne-des-Monts",2,40,1,2,0,28,3,3,79,352
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 56","Sainte-Anne-des-Monts",5,42,0,1,1,37,9,2,97,343
