Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Maxime Blanchette-Joncas,Nancy Brassard-Fortin,Guy Caron,Pierre Lacombe,Lysane Picker-Paquin,Chantal Pilon,Jocelyn Rioux,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 151","Cabano",49,21,26,0,0,32,5,5,138,394
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 152","Cabano",67,26,38,2,0,26,5,2,166,428
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 153","Saint-Juste-du-Lac",42,15,41,1,0,30,3,2,134,247
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 154","Dégelis",71,27,32,0,0,31,2,6,169,397
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 155","Dégelis",41,23,18,1,1,21,5,3,113,345
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 156","Dégelis",58,9,39,0,1,40,3,3,153,384
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 157","Dégelis",57,21,48,1,0,35,3,8,173,412
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 158","Dégelis",57,17,45,0,0,24,2,1,146,403
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 159","Dégelis",53,10,44,0,0,44,2,6,159,343
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 160","Saint-Louis-du-Ha! Ha!",79,30,48,0,0,36,4,4,201,384
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 161","Saint-Louis-du-Ha! Ha!",68,19,33,0,1,31,1,2,155,292
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 162","Saint-Louis-du-Ha! Ha!",61,21,45,2,0,36,1,3,169,306
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 163","Notre-Dame-du-Lac",67,32,58,1,0,25,3,9,195,377
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 164","Notre-Dame-du-Lac",60,22,61,3,1,39,5,2,193,372
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 165","Notre-Dame-du-Lac",68,31,55,2,0,43,0,3,202,373
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 166","Notre-Dame-du-Lac",43,23,53,2,0,38,0,5,164,338
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 167","Saint-Honoré-de-Témiscouata",36,24,28,0,1,42,2,3,136,258
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 168","Saint-Honoré-de-Témiscouata",83,35,23,1,1,35,1,2,181,319
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 169","Saint-Eusèbe",45,17,52,0,0,20,3,0,137,262
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 170","Saint-Eusèbe",30,17,52,0,1,16,4,0,120,211
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 171","Saint-Elzéar",65,14,25,0,1,24,3,3,135,257
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 172","Packington",44,10,24,0,1,29,7,4,119,229
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 173","Packington",43,13,29,0,0,32,5,4,126,247
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 174","Saint-Jean-de-la-Lande",24,25,20,0,0,32,0,2,103,212
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 175","Pohénégamook",43,38,30,0,0,24,1,4,140,352
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 176","Pohénégamook",44,16,21,0,0,25,2,2,110,332
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 177","Pohénégamook",65,17,28,1,0,22,1,1,135,373
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 178","Saint-Marc-du-Lac-Long",53,30,36,2,1,42,1,5,170,302
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 179","Pohénégamook",56,27,28,0,0,26,2,3,142,342
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 180","Pohénégamook",70,27,23,2,0,26,1,4,153,349
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 181","Pohénégamook",39,21,19,1,0,22,1,4,107,312
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 182","Rivière-Bleue",55,27,43,1,1,27,3,2,159,347
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 183","Rivière-Bleue",76,13,48,1,0,33,5,8,184,375
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 184","Rivière-Bleue",42,15,32,1,0,25,4,14,133,254
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 185","Saint-Athanase",24,23,37,2,1,20,2,3,112,222
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 400","Rimouski",41,4,25,1,0,83,0,4,158,218
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 401","Rimouski",44,10,22,0,0,84,2,8,170,212
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 500A","Mobile poll/Bureau itinérant",9,1,8,1,0,31,0,14,64,76
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 500B","Mobile poll/Bureau itinérant",37,11,10,2,1,45,1,13,120,128
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 501A","Mobile poll/Bureau itinérant",21,10,6,0,0,31,0,7,75,113
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 501B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500B,,,,,,,,,83
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 501C","Rimouski",Merged with No./Fusionné avec le n°47,,,,,,,,,10
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 502","Mobile poll/Bureau itinérant",30,3,17,0,0,23,0,10,83,145
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 503","Mobile poll/Bureau itinérant",10,3,11,1,0,18,1,1,45,204
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 504A","Mobile poll/Bureau itinérant",4,3,6,0,0,13,0,2,28,31
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 504B","Mobile poll/Bureau itinérant",13,11,12,0,0,35,2,9,82,77
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 504C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°504B,,,,,,,,,25
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 505","Mobile poll/Bureau itinérant",8,5,8,0,0,22,0,2,45,88
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 506","Mobile poll/Bureau itinérant",13,9,4,2,1,33,0,9,71,103
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 507","Mobile poll/Bureau itinérant",12,9,18,1,0,32,1,0,73,128
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 508","Mobile poll/Bureau itinérant",17,8,12,0,0,18,0,1,56,111
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 600","Rimouski-Est--Pointe-au-Père",405,75,300,1,3,199,7,12,1002,
