Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jason Cole,Darren Fisher,Michelle Lindsay,Lil MacPherson,Emma Norton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 143","Halifax",21,50,6,17,79,2,175,478
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 144","Halifax",20,71,1,21,63,0,176,452
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 145","Halifax",24,75,3,19,91,2,214,537
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 146","Halifax",36,91,1,22,63,1,214,423
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 147","Halifax",24,89,0,16,46,0,175,407
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 148","Halifax",22,77,0,18,52,2,171,378
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 149","Halifax",15,77,2,26,81,1,202,452
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 150","Halifax",10,47,1,15,52,0,125,271
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 151","Halifax",19,68,3,15,74,3,182,537
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 152","Halifax",13,44,6,14,54,0,131,452
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 153","Halifax",24,70,9,19,75,4,201,481
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 154","Halifax",17,67,3,27,54,1,169,360
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 155","Halifax",21,76,2,18,90,0,207,416
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 156","Halifax",25,95,6,23,73,1,223,462
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 157","Halifax",26,97,6,37,97,1,264,491
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 158","Halifax",28,85,5,27,81,1,227,504
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 159","Halifax",33,72,10,23,110,0,248,587
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 160","Halifax",18,62,3,15,106,2,206,487
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 161","Halifax",24,69,7,25,72,0,197,456
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 162","Halifax",28,69,6,23,71,0,197,491
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 163","Halifax",20,74,2,20,67,0,183,316
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 164","Halifax",9,93,5,31,101,0,239,538
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 165","Halifax",19,87,3,26,81,1,217,477
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 166","Halifax",24,103,5,31,92,1,256,503
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 167","Halifax",20,125,5,23,95,0,268,591
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 168","Halifax",44,149,4,22,73,0,292,609
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 169","Halifax",30,57,1,20,95,2,205,517
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 170","Halifax",105,69,8,24,110,3,319,691
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 171","Halifax",23,55,1,19,111,3,212,528
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 172","Halifax",27,89,1,5,32,3,157,337
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 173","Halifax",58,114,2,24,40,3,241,537
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 174","Halifax",27,59,2,19,110,4,221,500
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 175","Halifax",23,124,4,31,92,3,277,486
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 176","Halifax",22,75,8,20,94,0,219,465
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 500","Mobile poll/Bureau itinérant",14,34,4,4,11,1,68,88
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 501","Mobile poll/Bureau itinérant",24,38,4,2,8,2,78,111
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 502","Mobile poll/Bureau itinérant",63,144,3,31,13,5,259,214
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 503","Mobile poll/Bureau itinérant",21,63,2,12,37,0,135,200
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 504","Mobile poll/Bureau itinérant",22,71,6,10,40,0,149,275
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 505","Mobile poll/Bureau itinérant",20,75,4,9,27,1,136,151
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 600","Halifax",178,651,6,130,168,4,1137,
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 601","Halifax",208,584,23,134,317,6,1272,
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 602","Halifax",255,632,12,133,264,9,1305,
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 603","Halifax",143,482,21,119,243,2,1010,
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 604","Halifax",138,499,22,137,246,1,1043,
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 605","Halifax",203,654,13,113,179,2,1164,
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 606","Halifax",88,218,13,80,206,2,607,
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 607","Halifax",263,647,11,129,142,2,1194,
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 608","Halifax",281,666,11,146,250,8,1362,
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 609","Halifax",126,413,14,103,301,2,959,
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 610","Halifax",145,747,19,159,440,8,1518,
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 611","Halifax",84,405,12,144,389,2,1036,
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 612","Halifax",146,373,9,90,157,2,777,
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 613","Halifax",109,315,6,64,115,2,611,
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour",,Group 1/Groupe 1, 170,172,26,66,99,31,564,249
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour",,Group 2/Groupe 2, 242,717,26,194,309,37,1525,
