Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kevan Hunter,Colin Korol,Tim Moen,Natalie Odd,Gurcharan Singh Sidhu,Jordan Stein,Len Webber,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48005,"Calgary Confederation/Calgary Confederation"," 148","Calgary",0,7,1,25,24,57,100,0,214,395
48005,"Calgary Confederation/Calgary Confederation"," 149","Calgary",0,3,0,19,21,71,108,0,222,426
48005,"Calgary Confederation/Calgary Confederation"," 150","Calgary",1,2,1,12,24,55,129,4,228,400
48005,"Calgary Confederation/Calgary Confederation"," 151","Calgary",0,3,1,18,23,49,87,0,181,437
48005,"Calgary Confederation/Calgary Confederation"," 152","Calgary",0,4,1,11,24,79,94,0,213,355
48005,"Calgary Confederation/Calgary Confederation"," 153","Calgary",0,2,2,14,24,35,103,1,181,482
48005,"Calgary Confederation/Calgary Confederation"," 154","Calgary",0,5,1,16,15,38,163,0,238,467
48005,"Calgary Confederation/Calgary Confederation"," 155","Calgary",2,7,2,14,28,53,95,1,202,466
48005,"Calgary Confederation/Calgary Confederation"," 156A","Calgary",0,1,1,23,31,41,112,1,210,438
48005,"Calgary Confederation/Calgary Confederation"," 156B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°214B,,,,,,,,,32
48005,"Calgary Confederation/Calgary Confederation"," 157","Calgary",0,6,0,13,25,40,148,7,239,365
48005,"Calgary Confederation/Calgary Confederation"," 158","Calgary",0,4,0,17,33,47,107,0,208,377
48005,"Calgary Confederation/Calgary Confederation"," 159A","Calgary",Merged with No./Fusionné avec le n°157,,,,,,,,,97
48005,"Calgary Confederation/Calgary Confederation"," 159B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°214B,,,,,,,,,92
48005,"Calgary Confederation/Calgary Confederation"," 160","Calgary",1,2,0,18,21,40,112,0,194,365
48005,"Calgary Confederation/Calgary Confederation"," 161A","Calgary",0,3,0,16,35,63,100,2,219,381
48005,"Calgary Confederation/Calgary Confederation"," 161B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°130B,,,,,,,,,69
48005,"Calgary Confederation/Calgary Confederation"," 162","Calgary",0,3,2,16,22,68,103,0,214,396
48005,"Calgary Confederation/Calgary Confederation"," 163","Calgary",0,5,0,18,17,39,148,0,227,460
48005,"Calgary Confederation/Calgary Confederation"," 164","Calgary",2,2,2,22,25,58,101,0,212,415
48005,"Calgary Confederation/Calgary Confederation"," 165","Calgary",1,1,2,19,28,48,85,2,186,397
