Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Pierre Breton,Nathalie Clermont,Darlène Daviault,Andréanne Larouche,Raymonde Plamondon,Mariam Sabbagh,Katherine Turgeon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24072,"Shefford/Shefford"," 611","Roxton Pond--Sainte-Cécile-de-Milton",98,47,2,125,24,1,12,7,316,
24072,"Shefford/Shefford"," 612","Granby",532,161,2,499,64,11,51,14,1334,
24072,"Shefford/Shefford"," 613","Granby",427,105,0,341,45,3,44,17,982,
24072,"Shefford/Shefford"," 614","Granby",440,116,4,394,63,9,33,20,1079,
24072,"Shefford/Shefford"," 615","Shefford",396,149,3,392,61,8,50,12,1071,
24072,"Shefford/Shefford"," 616","Saint-Joachim-de-Shefford",209,97,2,288,30,4,23,12,665,
24072,"Shefford/Shefford"," 617","Waterloo",347,133,1,308,59,4,43,13,908,
24072,"Shefford/Shefford"," 618","Shefford",304,110,4,208,37,8,38,9,718,
24072,"Shefford/Shefford"," 619","Valcourt",78,20,0,75,16,6,9,4,208,
24072,"Shefford/Shefford"," 620","Maricourt",365,135,3,285,46,8,33,14,889,
24072,"Shefford/Shefford",,Group 1/Groupe 1, 54,9,3,15,14,0,7,7,109,109
24072,"Shefford/Shefford",,Group 2/Groupe 2, 520,128,2,326,99,7,89,33,1204,
