Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jennifer Alderson,Bill Capes,Audrey Festeryga,Chris Lewis,Tracey Ramsey,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35026,"Essex/Essex"," 147B","Kingsville",6,4,34,71,45,1,161,305
35026,"Essex/Essex"," 148","Kingsville",8,6,25,81,59,0,179,453
35026,"Essex/Essex"," 149","Kingsville",6,5,41,160,52,2,266,551
35026,"Essex/Essex"," 150","Kingsville",9,8,44,166,60,3,290,503
35026,"Essex/Essex"," 151","Kingsville",8,6,48,153,52,5,272,565
35026,"Essex/Essex"," 152","Kingsville",10,3,55,115,46,4,233,435
35026,"Essex/Essex"," 153","Amherstburg",17,8,20,80,87,0,212,402
35026,"Essex/Essex"," 154","Amherstburg",3,3,29,31,66,2,134,389
35026,"Essex/Essex"," 155","Amherstburg",8,1,29,59,65,2,164,374
35026,"Essex/Essex"," 156","Amherstburg",21,4,35,76,70,1,207,472
35026,"Essex/Essex"," 157","Amherstburg",11,7,36,67,78,3,202,500
35026,"Essex/Essex"," 158","Amherstburg",9,6,30,55,83,1,184,451
35026,"Essex/Essex"," 159","Amherstburg",8,2,47,54,98,0,209,461
35026,"Essex/Essex"," 160","Amherstburg",5,4,31,52,89,1,182,419
35026,"Essex/Essex"," 161","Amherstburg",14,1,23,57,94,3,192,389
35026,"Essex/Essex"," 162","Amherstburg",1,6,41,49,60,0,157,363
35026,"Essex/Essex"," 163","Amherstburg",7,5,52,64,53,1,182,428
35026,"Essex/Essex"," 164","Amherstburg",2,4,21,63,76,0,166,336
35026,"Essex/Essex"," 165","Amherstburg",7,5,60,101,115,0,288,518
35026,"Essex/Essex"," 166","Amherstburg",6,5,41,73,92,0,217,419
35026,"Essex/Essex"," 167","Amherstburg",11,9,37,67,105,2,231,504
35026,"Essex/Essex"," 168","Amherstburg",2,2,26,77,94,1,202,434
35026,"Essex/Essex"," 169A","Amherstburg",9,0,32,67,43,0,151,306
35026,"Essex/Essex"," 169B","Amherstburg",6,3,20,81,59,1,170,322
35026,"Essex/Essex"," 170","Kingsville",11,2,59,118,67,0,257,563
35026,"Essex/Essex"," 171","Kingsville",12,3,48,81,50,1,195,423
35026,"Essex/Essex"," 172","Amherstburg",6,8,11,29,72,0,126,382
35026,"Essex/Essex"," 173","Amherstburg",8,2,22,43,70,0,145,398
35026,"Essex/Essex"," 174","Amherstburg",4,3,22,57,73,4,163,439
