Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Melody Aldred,Lisa Birtch-Carriere,Matthew Chambers,Brendan Knight,Dave MacKenzie,Wendy Martin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35080,"Oxford/Oxford"," 75B","Woodstock",Merged with No./Fusionné avec le n°73B,,,,,,,,124
35080,"Oxford/Oxford"," 75C","Woodstock",Merged with No./Fusionné avec le n°73C,,,,,,,,131
35080,"Oxford/Oxford"," 76A","Woodstock",Merged with No./Fusionné avec le n°73A,,,,,,,,159
35080,"Oxford/Oxford"," 76B","Woodstock",Merged with No./Fusionné avec le n°73B,,,,,,,,151
35080,"Oxford/Oxford"," 76C","Woodstock",Merged with No./Fusionné avec le n°73C,,,,,,,,178
35080,"Oxford/Oxford"," 77","Woodstock",3,22,56,53,100,8,1,243,501
35080,"Oxford/Oxford"," 78A","Woodstock",8,28,89,62,120,9,0,316,223
35080,"Oxford/Oxford"," 78B","Woodstock",2,19,66,48,141,13,0,289,218
35080,"Oxford/Oxford"," 79A","Woodstock",Merged with No./Fusionné avec le n°78A,,,,,,,,223
35080,"Oxford/Oxford"," 79B","Woodstock",Merged with No./Fusionné avec le n°78B,,,,,,,,227
35080,"Oxford/Oxford"," 80A","Woodstock",Merged with No./Fusionné avec le n°78A,,,,,,,,216
35080,"Oxford/Oxford"," 80B","Woodstock",Merged with No./Fusionné avec le n°78B,,,,,,,,204
35080,"Oxford/Oxford"," 81","Woodstock",6,16,52,35,97,5,4,215,413
35080,"Oxford/Oxford"," 82","Woodstock",3,21,69,44,89,10,2,238,441
35080,"Oxford/Oxford"," 83","Woodstock",3,21,57,56,63,10,2,212,372
35080,"Oxford/Oxford"," 84","Woodstock",6,22,86,58,77,3,4,256,437
35080,"Oxford/Oxford"," 85","Woodstock",1,20,50,51,65,14,2,203,450
35080,"Oxford/Oxford"," 86","Woodstock",1,16,52,29,58,8,3,167,464
35080,"Oxford/Oxford"," 87","Woodstock",5,16,60,32,62,5,0,180,446
35080,"Oxford/Oxford"," 88","Woodstock",1,15,49,33,62,10,0,170,514
35080,"Oxford/Oxford"," 89","Woodstock",1,23,79,39,60,8,0,210,559
35080,"Oxford/Oxford"," 90","Woodstock",0,13,56,35,99,5,1,209,475
35080,"Oxford/Oxford"," 91A","Cody's Corners",2,19,40,30,117,5,2,215,94
35080,"Oxford/Oxford"," 91B","Cody's Corners",0,16,35,51,154,7,1,264,115
35080,"Oxford/Oxford"," 91C","Cody's Corners",4,19,41,40,165,4,2,275,100
35080,"Oxford/Oxford"," 92A","Embro",Merged with No./Fusionné avec le n°91A,,,,,,,,96
35080,"Oxford/Oxford"," 92B","Embro",Merged with No./Fusionné avec le n°91B,,,,,,,,142
35080,"Oxford/Oxford"," 92C","Embro",Merged with No./Fusionné avec le n°91C,,,,,,,,161
35080,"Oxford/Oxford"," 93A","Bennington",Merged with No./Fusionné avec le n°91A,,,,,,,,112
35080,"Oxford/Oxford"," 93B","Bennington",Merged with No./Fusionné avec le n°91B,,,,,,,,99
35080,"Oxford/Oxford"," 93C","Bennington",Merged with No./Fusionné avec le n°91C,,,,,,,,78
35080,"Oxford/Oxford"," 94A","Cody's Corners",Merged with No./Fusionné avec le n°91A,,,,,,,,107
35080,"Oxford/Oxford"," 94B","Cody's Corners",Merged with No./Fusionné avec le n°91B,,,,,,,,121
35080,"Oxford/Oxford"," 94C","Cody's Corners",Merged with No./Fusionné avec le n°91C,,,,,,,,129
35080,"Oxford/Oxford"," 95","Woodstock",2,12,42,34,56,5,0,151,398
35080,"Oxford/Oxford"," 96","Woodstock",0,12,38,35,71,4,0,160,374
35080,"Oxford/Oxford"," 97","Woodstock",4,18,44,47,77,9,1,200,417
35080,"Oxford/Oxford"," 98","Woodstock",2,15,47,24,90,6,3,187,453
35080,"Oxford/Oxford"," 99","Woodstock",1,14,43,33,68,5,1,165,386
35080,"Oxford/Oxford"," 100","Woodstock",0,13,60,39,91,10,3,216,450
35080,"Oxford/Oxford"," 101","Woodstock",3,11,72,34,89,9,0,218,461
35080,"Oxford/Oxford"," 102","Woodstock",0,19,63,56,95,8,0,241,457
35080,"Oxford/Oxford"," 103A","Woodstock",1,41,96,75,154,9,1,377,200
35080,"Oxford/Oxford"," 103B","Woodstock",8,25,86,64,161,4,6,354,190
35080,"Oxford/Oxford"," 104A","Woodstock",Merged with No./Fusionné avec le n°103A,,,,,,,,207
35080,"Oxford/Oxford"," 104B","Woodstock",Merged with No./Fusionné avec le n°103B,,,,,,,,195
35080,"Oxford/Oxford"," 105A","Woodstock",Merged with No./Fusionné avec le n°103A,,,,,,,,295
