Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Daniel Brisson,Ali Dahan,Macarena Diab,Marie-Josée Guérette,Christian Hébert,Jérémie Juneau,Joël Lightbound,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24044,"Louis-Hébert/Louis-Hébert"," 160","Québec",1,6,5,27,70,17,85,3,214,411
24044,"Louis-Hébert/Louis-Hébert"," 161","Québec",2,1,8,42,55,13,103,2,226,427
24044,"Louis-Hébert/Louis-Hébert"," 162","Québec",5,0,0,48,82,8,91,1,235,512
24044,"Louis-Hébert/Louis-Hébert"," 163","Québec",2,1,13,26,68,14,98,3,225,354
24044,"Louis-Hébert/Louis-Hébert"," 164","Québec",2,0,1,12,16,8,34,0,73,258
24044,"Louis-Hébert/Louis-Hébert"," 165","Québec",1,0,2,22,32,2,83,1,143,447
24044,"Louis-Hébert/Louis-Hébert"," 166","Québec",3,0,2,26,55,4,63,1,154,418
24044,"Louis-Hébert/Louis-Hébert"," 167","Québec",3,0,16,31,67,12,76,1,206,428
24044,"Louis-Hébert/Louis-Hébert"," 168","Québec",3,0,8,37,89,25,118,0,280,512
24044,"Louis-Hébert/Louis-Hébert"," 169","Québec",1,3,3,20,30,11,42,1,111,255
24044,"Louis-Hébert/Louis-Hébert"," 170","Québec",5,2,5,26,40,13,68,6,165,364
24044,"Louis-Hébert/Louis-Hébert"," 171","Québec",2,0,10,21,44,13,112,2,204,408
24044,"Louis-Hébert/Louis-Hébert"," 172","Québec",1,0,13,30,55,12,74,0,185,340
24044,"Louis-Hébert/Louis-Hébert"," 173","Québec",3,0,6,46,73,13,107,2,250,454
24044,"Louis-Hébert/Louis-Hébert"," 174","Québec",2,1,9,43,65,19,100,1,240,545
24044,"Louis-Hébert/Louis-Hébert"," 175","Québec",2,1,8,18,41,9,74,2,155,365
24044,"Louis-Hébert/Louis-Hébert"," 176","Québec",9,1,6,56,37,11,73,2,195,373
24044,"Louis-Hébert/Louis-Hébert"," 177","Québec",0,0,9,42,53,12,76,3,195,494
24044,"Louis-Hébert/Louis-Hébert"," 178","Québec",7,0,9,23,49,19,70,1,178,400
24044,"Louis-Hébert/Louis-Hébert"," 179","Québec",1,1,17,30,66,17,91,1,224,486
