Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alexandre Deschênes,Mike Duggan,Greg Fergus,Sébastien Grenier,Josée Poirier Defoy,Joanie Riopel,Rowen Tanguay,Nicolas Thibodeau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24030,"Hull--Aylmer/Hull--Aylmer"," 126","Gatineau",0,29,164,0,16,12,1,22,0,244,394
24030,"Hull--Aylmer/Hull--Aylmer"," 127","Gatineau",0,33,152,1,18,33,3,48,3,291,509
24030,"Hull--Aylmer/Hull--Aylmer"," 128","Gatineau",0,30,103,2,25,26,5,26,0,217,413
24030,"Hull--Aylmer/Hull--Aylmer"," 129","Gatineau",1,17,117,1,9,36,3,33,5,222,450
24030,"Hull--Aylmer/Hull--Aylmer"," 130","Gatineau",0,27,158,0,9,33,3,29,0,259,463
24030,"Hull--Aylmer/Hull--Aylmer"," 131","Gatineau",0,30,126,0,15,26,2,25,2,226,417
24030,"Hull--Aylmer/Hull--Aylmer"," 132","Gatineau",0,27,140,1,20,19,3,28,1,239,447
24030,"Hull--Aylmer/Hull--Aylmer"," 133","Gatineau",2,24,127,0,18,25,12,27,1,236,463
24030,"Hull--Aylmer/Hull--Aylmer"," 134","Gatineau",1,13,146,0,19,38,1,19,0,237,466
24030,"Hull--Aylmer/Hull--Aylmer"," 135","Gatineau",1,32,111,1,18,29,3,26,2,223,452
24030,"Hull--Aylmer/Hull--Aylmer"," 136","Gatineau",0,18,129,0,12,31,3,28,7,228,435
24030,"Hull--Aylmer/Hull--Aylmer"," 137","Gatineau",0,14,128,0,18,14,6,28,5,213,506
24030,"Hull--Aylmer/Hull--Aylmer"," 138","Gatineau",0,20,78,0,9,17,4,34,7,169,476
24030,"Hull--Aylmer/Hull--Aylmer"," 139","Gatineau",0,21,105,0,13,19,5,18,2,183,492
24030,"Hull--Aylmer/Hull--Aylmer"," 140","Gatineau",0,24,100,0,23,27,1,30,0,205,393
24030,"Hull--Aylmer/Hull--Aylmer"," 141","Gatineau",0,20,111,3,16,29,3,39,2,223,435
24030,"Hull--Aylmer/Hull--Aylmer"," 142","Gatineau",0,23,100,1,21,5,5,30,2,187,445
24030,"Hull--Aylmer/Hull--Aylmer"," 143","Gatineau",0,18,91,1,22,20,4,37,3,196,419
24030,"Hull--Aylmer/Hull--Aylmer"," 144","Gatineau",0,32,82,0,13,25,1,33,3,189,461
24030,"Hull--Aylmer/Hull--Aylmer"," 145","Gatineau",0,13,77,1,4,8,4,29,2,138,309
24030,"Hull--Aylmer/Hull--Aylmer"," 146","Gatineau",0,17,137,1,21,31,2,42,2,253,499
24030,"Hull--Aylmer/Hull--Aylmer"," 147","Gatineau",0,35,91,0,24,19,2,38,1,210,411
24030,"Hull--Aylmer/Hull--Aylmer"," 148","Gatineau",0,15,95,0,13,14,1,25,2,165,332
24030,"Hull--Aylmer/Hull--Aylmer"," 149","Gatineau",0,30,110,0,15,12,4,41,2,214,432
24030,"Hull--Aylmer/Hull--Aylmer"," 150","Gatineau",1,29,156,0,22,23,2,31,2,266,487
24030,"Hull--Aylmer/Hull--Aylmer"," 151","Gatineau",0,23,165,0,24,17,7,18,1,255,516
24030,"Hull--Aylmer/Hull--Aylmer"," 152","Gatineau",0,24,69,0,16,6,3,34,0,152,436
24030,"Hull--Aylmer/Hull--Aylmer"," 153","Gatineau",0,29,135,3,13,10,3,17,1,211,421
24030,"Hull--Aylmer/Hull--Aylmer"," 154","Gatineau",0,19,127,0,10,17,0,28,0,201,386
24030,"Hull--Aylmer/Hull--Aylmer"," 155","Gatineau",0,32,132,0,13,28,0,28,1,234,490
24030,"Hull--Aylmer/Hull--Aylmer"," 156","Gatineau",0,31,136,0,19,14,3,35,4,242,486
24030,"Hull--Aylmer/Hull--Aylmer"," 157","Gatineau",1,36,145,0,12,22,2,25,5,248,527
24030,"Hull--Aylmer/Hull--Aylmer"," 158","Gatineau",2,21,128,0,16,19,4,37,4,231,458
24030,"Hull--Aylmer/Hull--Aylmer"," 159","Gatineau",0,15,96,1,16,11,2,28,0,169,435
24030,"Hull--Aylmer/Hull--Aylmer"," 160","Gatineau",0,22,78,1,11,13,1,26,1,153,429
24030,"Hull--Aylmer/Hull--Aylmer"," 161","Gatineau",1,19,127,3,23,14,3,37,1,228,449
24030,"Hull--Aylmer/Hull--Aylmer"," 162","Gatineau",0,19,67,0,9,10,2,21,1,129,307
24030,"Hull--Aylmer/Hull--Aylmer"," 163","Gatineau",0,28,106,2,16,11,1,33,3,200,418
24030,"Hull--Aylmer/Hull--Aylmer"," 164","Gatineau",1,22,90,1,17,12,2,29,2,176,401
