Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Josh Eisses,Gudie Hutchings,Lucas Knill,Robert Miles,Holly Pike,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10005,"Long Range Mountains/Long Range Mountains"," 181","Burgeo",28,118,4,1,16,11,178,410
10005,"Long Range Mountains/Long Range Mountains"," 182","Burgeo",24,69,6,0,12,0,111,265
10005,"Long Range Mountains/Long Range Mountains"," 183","Jeffrey's--Cartyville",63,53,10,3,26,10,165,310
10005,"Long Range Mountains/Long Range Mountains"," 184","Grey River",3,33,1,1,0,0,38,84
10005,"Long Range Mountains/Long Range Mountains"," 185","St. David's--St. Fintan's",50,64,4,2,23,4,147,318
10005,"Long Range Mountains/Long Range Mountains"," 186","La Poile",8,24,1,1,2,0,36,70
10005,"Long Range Mountains/Long Range Mountains"," 187","Highlands",6,20,1,0,3,2,32,47
10005,"Long Range Mountains/Long Range Mountains"," 188","Ramea",28,92,4,1,10,1,136,393
10005,"Long Range Mountains/Long Range Mountains"," 189","Coal Brook--South Branch",39,45,3,5,21,0,113,218
10005,"Long Range Mountains/Long Range Mountains"," 190","Codroy",93,127,9,3,23,0,255,419
10005,"Long Range Mountains/Long Range Mountains"," 191","Codroy--Upper Ferry",58,70,13,7,30,0,178,381
10005,"Long Range Mountains/Long Range Mountains"," 192","Rose Blanche-Harbour le Cou",21,83,2,1,11,5,123,387
10005,"Long Range Mountains/Long Range Mountains"," 193","Burnt Islands",13,32,2,0,0,0,47,121
10005,"Long Range Mountains/Long Range Mountains"," 194","Burnt Islands",50,89,1,6,22,6,174,388
10005,"Long Range Mountains/Long Range Mountains"," 195","St. Andrew's",57,60,7,3,23,6,156,197
10005,"Long Range Mountains/Long Range Mountains"," 196","Isle aux Morts",44,49,4,0,18,4,119,242
10005,"Long Range Mountains/Long Range Mountains"," 197","Isle aux Morts",46,59,3,3,18,7,136,306
10005,"Long Range Mountains/Long Range Mountains"," 198","Cape Ray",47,70,7,3,26,9,162,274
10005,"Long Range Mountains/Long Range Mountains"," 199","Channel-Port aux Basques",24,58,4,1,21,1,109,270
10005,"Long Range Mountains/Long Range Mountains"," 200","Channel-Port aux Basques",53,79,9,3,37,12,193,419
10005,"Long Range Mountains/Long Range Mountains"," 201","Channel-Port aux Basques",31,79,4,0,29,1,144,358
10005,"Long Range Mountains/Long Range Mountains"," 202","Fox Roost-Margaree",32,60,4,2,22,1,121,108
10005,"Long Range Mountains/Long Range Mountains"," 203A","Channel-Port aux Basques",72,113,11,3,43,2,244,507
10005,"Long Range Mountains/Long Range Mountains"," 203B","Mobile poll/Bureau itinérant",5,25,0,2,2,0,34,1
10005,"Long Range Mountains/Long Range Mountains"," 203C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°203B,,,,,,,29
10005,"Long Range Mountains/Long Range Mountains"," 204","Channel-Port aux Basques",50,68,8,1,24,0,151,332
10005,"Long Range Mountains/Long Range Mountains"," 205","Channel-Port aux Basques",60,69,7,0,24,0,160,363
10005,"Long Range Mountains/Long Range Mountains"," 206","Channel-Port aux Basques",39,89,2,3,40,0,173,473
10005,"Long Range Mountains/Long Range Mountains"," 207","Channel-Port aux Basques",30,65,7,0,49,2,153,358
10005,"Long Range Mountains/Long Range Mountains"," 208","Channel-Port aux Basques",61,66,8,1,24,1,161,397
10005,"Long Range Mountains/Long Range Mountains"," 500","Mobile poll/Bureau itinérant",3,39,0,1,0,6,49,77
10005,"Long Range Mountains/Long Range Mountains"," 501","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°18C,,,,,,,16
10005,"Long Range Mountains/Long Range Mountains"," 502","Mobile poll/Bureau itinérant",9,43,0,1,1,1,55,53
10005,"Long Range Mountains/Long Range Mountains"," 503","Mobile poll/Bureau itinérant",6,28,1,0,9,13,57,43
10005,"Long Range Mountains/Long Range Mountains"," 504","Mobile poll/Bureau itinérant",6,24,1,1,4,1,37,115
10005,"Long Range Mountains/Long Range Mountains"," 505","Mobile poll/Bureau itinérant",3,14,0,0,2,3,22,41
10005,"Long Range Mountains/Long Range Mountains"," 506","Mobile poll/Bureau itinérant",17,67,5,6,4,0,99,111
10005,"Long Range Mountains/Long Range Mountains"," 600","St. Anthony",31,88,5,2,22,6,154,
10005,"Long Range Mountains/Long Range Mountains"," 601","Flower's Cove",43,30,0,1,10,0,84,
10005,"Long Range Mountains/Long Range Mountains"," 602","Roddickton",29,25,2,0,4,0,60,
10005,"Long Range Mountains/Long Range Mountains"," 603","Plum Point",11,20,1,0,3,0,35,
10005,"Long Range Mountains/Long Range Mountains"," 604","Port au Choix",25,25,2,0,9,0,61,
10005,"Long Range Mountains/Long Range Mountains"," 605","Parson's Pond",13,21,3,1,9,1,48,
10005,"Long Range Mountains/Long Range Mountains"," 606","Sop's Arm",7,18,0,1,5,1,32,
10005,"Long Range Mountains/Long Range Mountains"," 607","Rocky Harbour",21,77,9,0,17,0,124,
10005,"Long Range Mountains/Long Range Mountains"," 608","Deer Lake",109,117,9,6,39,2,282,
10005,"Long Range Mountains/Long Range Mountains"," 609","Woody Point",13,19,6,0,15,0,53,
10005,"Long Range Mountains/Long Range Mountains"," 610","Meadows",16,51,3,1,26,0,97,
10005,"Long Range Mountains/Long Range Mountains"," 611","Pasadena",74,167,4,2,69,5,321,
10005,"Long Range Mountains/Long Range Mountains"," 612","Deer Lake",82,146,13,3,36,2,282,
10005,"Long Range Mountains/Long Range Mountains"," 613","Corner Brook",73,240,20,1,97,13,444,
10005,"Long Range Mountains/Long Range Mountains"," 614","Corner Brook",59,132,9,0,66,7,273,
10005,"Long Range Mountains/Long Range Mountains"," 615","Corner Brook",27,140,9,0,63,2,241,
10005,"Long Range Mountains/Long Range Mountains"," 616","Benoit's cove",42,27,4,1,26,1,101,
10005,"Long Range Mountains/Long Range Mountains"," 617","Corner Brook",45,189,27,0,101,8,370,
10005,"Long Range Mountains/Long Range Mountains"," 618","Kippens",124,180,17,3,84,6,414,
10005,"Long Range Mountains/Long Range Mountains"," 619","Piccadilly",38,44,3,2,24,1,112,
10005,"Long Range Mountains/Long Range Mountains"," 620","Stephenville",84,205,10,9,64,0,372,
10005,"Long Range Mountains/Long Range Mountains"," 621","Stephenville Crossing",34,49,1,5,28,1,118,
10005,"Long Range Mountains/Long Range Mountains"," 622","St. Fintan's",33,30,7,6,16,3,95,
10005,"Long Range Mountains/Long Range Mountains"," 623","Port aux Basques",47,121,11,2,43,11,235,
10005,"Long Range Mountains/Long Range Mountains"," 624","Burnt Islands",3,10,1,0,9,0,23,
10005,"Long Range Mountains/Long Range Mountains"," 625","Burgeo",16,44,3,1,7,1,72,
10005,"Long Range Mountains/Long Range Mountains",,Group 1/Groupe 1, 13,29,4,1,13,0,60,52
10005,"Long Range Mountains/Long Range Mountains",,Group 2/Groupe 2, 260,510,57,7,188,14,1036,
