Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Élisabeth Brière,Steve Côté,Pierre-Luc Dusseault,Claude Forgues,Edwin Moreno,Mathieu Morin,Hubert Richard,Dany Sévigny,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24073,"Sherbrooke/Sherbrooke"," 173","Sherbrooke",51,0,60,61,2,7,0,18,1,200,402
24073,"Sherbrooke/Sherbrooke"," 174","Sherbrooke",46,2,53,55,2,16,0,11,4,189,376
24073,"Sherbrooke/Sherbrooke"," 175","Sherbrooke",49,1,63,48,2,10,0,15,1,189,402
24073,"Sherbrooke/Sherbrooke"," 176","Sherbrooke",35,2,64,24,2,17,0,11,0,155,386
24073,"Sherbrooke/Sherbrooke"," 177","Sherbrooke",76,0,67,52,0,11,0,25,3,234,454
24073,"Sherbrooke/Sherbrooke"," 178","Sherbrooke",55,2,72,58,2,8,0,11,2,210,429
24073,"Sherbrooke/Sherbrooke"," 179A","Sherbrooke",21,0,23,13,0,9,1,5,1,73,226
24073,"Sherbrooke/Sherbrooke"," 179B","Mobile poll/Bureau itinérant",64,0,1,1,0,0,0,12,4,82,129
24073,"Sherbrooke/Sherbrooke"," 179C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°179B,,,,,,,,,,23
24073,"Sherbrooke/Sherbrooke"," 180","Sherbrooke",34,1,66,37,0,9,0,13,1,161,404
24073,"Sherbrooke/Sherbrooke"," 181","Sherbrooke",46,1,61,61,2,13,0,13,0,197,388
